Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Hours per Week,Native Country,Salary
36, Private, Assoc-acdm, Married, Exec-managerial, Wife, White, Female,50, United-States, >50K
34, Private, Bachelors, Married, Prof-specialty, Husband, White, Male,40, ?, >50K
41, Self-employed, Masters, Divorced, Sales, Unmarried, White, Male,5, United-States, >50K
35, Self-employed, Didnt-grad-HS, Married, Farming-fishing, Husband, White, Male,75, United-States, <=50K
63, Self-employed, Masters, Married, Sales, Husband, White, Male,68, United-States, >50K
46, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Male,40, United-States, <=50K
47, Self-employed, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,65, United-States, <=50K
29, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,30, United-States, <=50K
74, Government, Bachelors, Widowed, Transport-moving, Not-in-family, White, Female,18, United-States, <=50K
50, Private, Didnt-grad-HS, Married, Transport-moving, Husband, White, Male,70, United-States, >50K
22, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
48, Private, Didnt-grad-HS, Separated, Adm-clerical, Own-child, Black, Female,40, United-States, <=50K
30, Private, Didnt-grad-HS, Married, Handlers-cleaners, Other-relative, White, Male,40, Mexico, <=50K
32, Private, Bachelors, Married, Sales, Husband, White, Male,40, United-States, <=50K
39, Private, HS-grad, Married, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
49, Private, Bachelors, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
25, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
50, Private, Bachelors, Married, Adm-clerical, Wife, White, Female,40, United-States, >50K
44, Private, HS-grad, Married, Transport-moving, Husband, White, Male,40, United-States, <=50K
65, Private, Assoc-voc, Married, Farming-fishing, Husband, White, Male,60, United-States, <=50K
28, Government, Assoc-acdm, Married, Adm-clerical, Husband, White, Male,60, United-States, <=50K
55, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
49, Government, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,50, United-States, <=50K
31, Private, HS-grad, Separated, Exec-managerial, Unmarried, White, Female,12, United-States, <=50K
47, Private, HS-grad, Married, Machine-op-inspct, Wife, Black, Female,40, United-States, >50K
45, Private, HS-grad, Married, Transport-moving, Husband, White, Male,40, United-States, >50K
35, Private, HS-grad, Never-married, Other, Not-in-family, Black, Female,40, United-States, <=50K
34, Self-employed, Bachelors, Married, Sales, Husband, Asian-Pac-Islander, Male,60, South, <=50K
49, Government, HS-grad, Widowed, Protective-serv, Not-in-family, Black, Male,40, United-States, <=50K
39, Other, Bachelors, Divorced, Other, Not-in-family, White, Female,35, United-States, <=50K
27, Private, HS-grad, Never-married, Other, Not-in-family, White, Female,42, United-States, <=50K
42, Private, HS-grad, Married, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
60, Other, Didnt-grad-HS, Married, Other, Husband, White, Male,30, United-States, >50K
64, Self-employed, HS-grad, Never-married, Other, Not-in-family, White, Male,40, United-States, <=50K
33, Private, Bachelors, Married, Sales, Husband, White, Male,48, United-States, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
45, Private, Masters, Married, Exec-managerial, Husband, White, Male,50, United-States, >50K
34, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Female,40, United-States, <=50K
53, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,37, Mexico, <=50K
22, Private, Didnt-grad-HS, Never-married, Craft-repair, Not-in-family, White, Male,30, United-States, <=50K
57, Government, HS-grad, Separated, Other, Not-in-family, White, Female,35, United-States, <=50K
20, Other, Bachelors, Never-married, Other, Own-child, White, Female,8, United-States, <=50K
23, Private, Didnt-grad-HS, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K
31, Private, Didnt-grad-HS, Never-married, Transport-moving, Unmarried, White, Male,40, United-States, <=50K
23, Government, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,22, United-States, <=50K
30, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
32, Government, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K
42, Private, Assoc-acdm, Married, Adm-clerical, Wife, Black, Female,40, United-States, >50K
51, Private, Didnt-grad-HS, Married, Transport-moving, Husband, White, Male,40, Cuba, <=50K
59, Self-employed, Bachelors, Married, Sales, Husband, White, Male,40, United-States, >50K
36, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,40, United-States, <=50K
45, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,40, United-States, <=50K
35, Private, Assoc-voc, Married, Sales, Husband, White, Male,50, Germany, >50K
33, Private, Didnt-grad-HS, Married, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
43, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,40, United-States, <=50K
60, Private, HS-grad, Married, Tech-support, Wife, White, Female,40, United-States, >50K
37, Government, Bachelors, Married, Prof-specialty, Husband, White, Male,55, United-States, >50K
35, Private, Bachelors, Never-married, Tech-support, Unmarried, White, Female,40, United-States, <=50K
36, Private, Bachelors, Married, Adm-clerical, Husband, White, Male,52, United-States, <=50K
38, Government, Prof-school, Married, Prof-specialty, Husband, White, Male,50, United-States, >50K
54, Private, Didnt-grad-HS, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
51, Private, Assoc-voc, Married, Handlers-cleaners, Husband, White, Male,40, United-States, >50K
45, Private, Assoc-acdm, Married, Craft-repair, Husband, White, Male,45, United-States, >50K
63, Government, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, <=50K
51, Private, Bachelors, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
58, Self-employed, Masters, Divorced, Sales, Not-in-family, White, Male,18, United-States, <=50K
64, Government, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
44, Government, Bachelors, Married, Adm-clerical, Husband, Asian-Pac-Islander, Male,40, Philippines, >50K
39, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,48, United-States, <=50K
45, Government, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
44, Private, Doctorate, Married, Adm-clerical, Husband, White, Male,55, United-States, >50K
22, Government, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
63, Self-employed, HS-grad, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
26, Private, Assoc-voc, Separated, Other, Not-in-family, Black, Male,40, United-States, <=50K
42, Self-employed, Bachelors, Married, Farming-fishing, Husband, White, Male,45, United-States, <=50K
20, Private, HS-grad, Never-married, Other, Own-child, White, Female,25, United-States, <=50K
29, Private, Masters, Married, Sales, Husband, White, Male,40, United-States, >50K
38, Government, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,40, Vietnam, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
27, Private, Bachelors, Married, Craft-repair, Other-relative, White, Male,50, United-States, <=50K
46, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
31, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
24, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Male,35, United-States, <=50K
43, Private, Bachelors, Married, Sales, Husband, White, Male,50, United-States, >50K
23, Private, Didnt-grad-HS, Never-married, Machine-op-inspct, Own-child, White, Male,21, Mexico, <=50K
32, Government, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,37, United-States, <=50K
44, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, Poland, <=50K
40, Self-employed, Bachelors, Married, Sales, Husband, White, Male,40, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,40, United-States, <=50K
23, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, White, Female,10, United-States, <=50K
41, Private, Bachelors, Married, Sales, Husband, White, Male,40, United-States, <=50K
48, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
23, Private, Bachelors, Married, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
47, Private, Assoc-acdm, Widowed, Other, Own-child, White, Female,35, United-States, <=50K
42, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
17, Private, Didnt-grad-HS, Never-married, Sales, Other-relative, White, Female,10, United-States, <=50K
29, Government, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,70, United-States, <=50K
21, Government, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,20, United-States, <=50K
18, Other, Didnt-grad-HS, Never-married, Other, Own-child, White, Male,27, United-States, <=50K
31, Private, HS-grad, Married, Other, Husband, White, Male,40, Mexico, >50K
27, Government, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,40, United-States, <=50K
29, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male,40, Canada, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,45, United-States, <=50K
41, Private, Masters, Married, Prof-specialty, Husband, Asian-Pac-Islander, Male,55, Taiwan, >50K
46, Government, Bachelors, Married, Prof-specialty, Husband, White, Male,35, United-States, >50K
34, Private, Bachelors, Married, Protective-serv, Other-relative, Black, Female,25, Haiti, <=50K
42, Self-employed, HS-grad, Married, Craft-repair, Husband, White, Male,24, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,15, United-States, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,37, United-States, <=50K
18, Other, Didnt-grad-HS, Never-married, Other, Own-child, White, Male,15, United-States, <=50K
52, Private, Bachelors, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
56, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K
21, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K
22, Self-employed, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,20, United-States, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,45, United-States, <=50K
41, Self-employed, HS-grad, Married, Other, Husband, White, Male,60, United-States, <=50K
25, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
43, Self-employed, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,60, United-States, <=50K
45, Private, HS-grad, Separated, Sales, Not-in-family, White, Female,40, United-States, <=50K
26, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,60, United-States, <=50K
90, Private, Bachelors, Never-married, Other, Not-in-family, Asian-Pac-Islander, Male,35, United-States, <=50K
45, Private, Bachelors, Married, Sales, Husband, White, Male,40, United-States, >50K
30, Private, Bachelors, Married, Other, Wife, White, Female,40, United-States, >50K
42, Private, Bachelors, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,35, United-States, <=50K
53, Private, Bachelors, Married, Prof-specialty, Husband, White, Male,40, United-States, >50K
64, Government, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,38, United-States, <=50K
56, Private, Didnt-grad-HS, Widowed, Transport-moving, Not-in-family, White, Male,20, United-States, <=50K
42, Private, Bachelors, Married, Prof-specialty, Not-in-family, White, Male,40, United-States, >50K
26, Private, Bachelors, Married, Sales, Wife, White, Female,40, United-States, >50K
31, Government, Assoc-acdm, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,40, United-States, <=50K
40, Private, Bachelors, Married, Adm-clerical, Wife, White, Female,40, United-States, <=50K
58, Private, Bachelors, Widowed, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
41, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,40, United-States, <=50K
58, Self-employed, HS-grad, Never-married, Sales, Not-in-family, White, Male,47, United-States, <=50K
62, Government, Masters, Married, Prof-specialty, Husband, White, Male,60, United-States, >50K
65, Self-employed, Bachelors, Married, Sales, Husband, White, Male,60, United-States, >50K
40, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
45, Government, Bachelors, Married, Protective-serv, Husband, White, Male,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,55, United-States, <=50K
23, Other, Bachelors, Never-married, Other, Own-child, Asian-Pac-Islander, Male,20, China, <=50K
63, Government, Masters, Married, Exec-managerial, Husband, White, Male,50, United-States, >50K
39, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,50, United-States, >50K
37, Private, Bachelors, Widowed, Craft-repair, Unmarried, White, Male,40, United-States, <=50K
25, Other, Bachelors, Married, Other, Not-in-family, White, Male,40, Canada, <=50K
56, Private, Didnt-grad-HS, Married, Farming-fishing, Husband, White, Male,50, United-States, <=50K
32, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,50, United-States, <=50K
53, Government, Bachelors, Married, Exec-managerial, Wife, Asian-Pac-Islander, Female,40, Philippines, >50K
32, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K
23, Self-employed, Didnt-grad-HS, Married, Transport-moving, Husband, White, Male,60, United-States, >50K
35, Private, Didnt-grad-HS, Separated, Transport-moving, Not-in-family, White, Male,90, United-States, <=50K
51, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,65, United-States, >50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,20, United-States, <=50K
41, Private, Didnt-grad-HS, Married, Machine-op-inspct, Not-in-family, White, Male,40, Guatemala, <=50K
22, Private, Didnt-grad-HS, Never-married, Transport-moving, Own-child, White, Male,25, United-States, <=50K
23, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
36, Private, Masters, Married, Exec-managerial, Husband, Asian-Pac-Islander, Male,40, Taiwan, >50K
27, Other, Bachelors, Divorced, Other, Not-in-family, White, Female,25, United-States, <=50K
45, Private, Assoc-voc, Married, Craft-repair, Husband, White, Male,40, Canada, <=50K
23, Self-employed, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,25, Mexico, <=50K
21, Private, Didnt-grad-HS, Never-married, Other, Unmarried, Black, Female,40, United-States, <=50K
44, Private, Masters, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
29, Private, Bachelors, Married, Sales, Husband, White, Male,40, United-States, >50K
36, Self-employed, Assoc-voc, Married, Tech-support, Husband, White, Male,60, United-States, <=50K
18, Private, Didnt-grad-HS, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
62, Self-employed, Didnt-grad-HS, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
25, Government, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,40, United-States, <=50K
34, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Female,45, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,50, United-States, >50K
37, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
33, Private, Bachelors, Married, Farming-fishing, Husband, White, Male,40, England, <=50K
22, Other, Bachelors, Never-married, Other, Own-child, White, Female,30, United-States, <=50K
28, Private, Assoc-acdm, Married, Sales, Husband, White, Male,30, United-States, <=50K
22, Other, Bachelors, Separated, Other, Own-child, White, Male,25, United-States, <=50K
47, Private, HS-grad, Married, Other, Husband, White, Male,40, United-States, >50K
67, Other, Didnt-grad-HS, Married, Other, Husband, White, Male,3, United-States, <=50K
20, Other, Didnt-grad-HS, Never-married, Other, Own-child, White, Male,40, United-States, <=50K
34, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,70, United-States, <=50K
26, Private, Prof-school, Married, Prof-specialty, Husband, White, Male,60, United-States, >50K
36, Private, Bachelors, Married, Craft-repair, Husband, White, Male,44, United-States, >50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,40, United-States, <=50K
47, Private, Bachelors, Separated, Other, Not-in-family, Black, Female,35, United-States, <=50K
33, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,45, United-States, <=50K
34, Self-employed, Masters, Separated, Prof-specialty, Not-in-family, White, Female,40, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
37, Private, Didnt-grad-HS, Married, Handlers-cleaners, Husband, White, Male,50, Mexico, <=50K
36, Government, HS-grad, Married, Protective-serv, Husband, White, Male,40, United-States, <=50K
61, Government, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male,30, ?, <=50K
74, Other, Didnt-grad-HS, Married, Other, Husband, White, Male,40, United-States, <=50K
57, Private, Bachelors, Married, Craft-repair, Husband, White, Male,40, Poland, <=50K
55, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male,40, England, <=50K
20, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,40, United-States, <=50K
43, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,44, United-States, <=50K
54, Private, HS-grad, Married, Machine-op-inspct, Husband, White, Male,40, England, >50K
25, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
42, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K
23, Other, Bachelors, Never-married, Other, Not-in-family, White, Female,35, United-States, <=50K
17, Private, Didnt-grad-HS, Never-married, Craft-repair, Own-child, White, Male,10, United-States, <=50K
39, Other, HS-grad, Never-married, Other, Not-in-family, White, Male,40, United-States, <=50K
63, Private, Didnt-grad-HS, Married, Other, Unmarried, Amer-Indian-Eskimo, Female,40, United-States, <=50K
19, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,30, United-States, <=50K
56, Self-employed, Bachelors, Married, Sales, Husband, White, Male,50, United-States, >50K
33, Self-employed, Bachelors, Married, Sales, Husband, White, Male,45, United-States, >50K
37, Private, Bachelors, Married, Farming-fishing, Husband, White, Male,50, United-States, <=50K
27, Private, Didnt-grad-HS, Married, Transport-moving, Husband, White, Male,45, United-States, <=50K
36, Government, Bachelors, Married, Adm-clerical, Husband, White, Male,40, United-States, <=50K
30, Self-employed, HS-grad, Married, Exec-managerial, Husband, White, Male,65, Canada, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,55, United-States, <=50K
35, Private, Bachelors, Married, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,45, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
25, Private, Didnt-grad-HS, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
53, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,54, United-States, >50K
21, Other, Bachelors, Never-married, Other, Own-child, White, Female,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Female,35, United-States, <=50K
34, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,30, United-States, <=50K
32, Government, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,40, United-States, <=50K
20, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,40, United-States, <=50K
70, Private, Didnt-grad-HS, Married, Other, Husband, White, Male,25, United-States, <=50K
57, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
54, Private, Bachelors, Married, Sales, Husband, White, Male,50, United-States, <=50K
34, Private, Assoc-voc, Married, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
48, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
42, Private, Didnt-grad-HS, Married, Other, Wife, White, Female,40, United-States, <=50K
45, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
27, Private, Bachelors, Never-married, Other, Own-child, White, Male,40, United-States, <=50K
51, Private, Didnt-grad-HS, Married, Other, Husband, White, Male,40, Mexico, <=50K
36, Government, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,65, United-States, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,40, Philippines, <=50K
50, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,40, United-States, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,50, United-States, >50K
39, Government, Masters, Married, Prof-specialty, Husband, White, Male,40, United-States, >50K
55, Self-employed, Didnt-grad-HS, Married, Farming-fishing, Husband, White, Male,25, United-States, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
32, Self-employed, Didnt-grad-HS, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
66, Other, Bachelors, Married, Other, Husband, White, Male,40, United-States, >50K
68, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,30, United-States, <=50K
29, Private, Didnt-grad-HS, Married, Transport-moving, Husband, White, Male,60, United-States, <=50K
24, Self-employed, Bachelors, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
61, Private, Didnt-grad-HS, Married, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
34, Private, HS-grad, Married, Machine-op-inspct, Husband, White, Male,44, United-States, >50K
55, Self-employed, Prof-school, Married, Prof-specialty, Husband, White, Male,35, Greece, >50K
20, Other, Bachelors, Never-married, Other, Own-child, White, Male,36, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
36, Self-employed, HS-grad, Married, Farming-fishing, Husband, White, Male,84, United-States, <=50K
60, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
61, Self-employed, HS-grad, Married, Craft-repair, Husband, White, Male,52, United-States, >50K
35, Private, Prof-school, Married, Sales, Husband, Asian-Pac-Islander, Male,35, China, <=50K
42, Government, Bachelors, Married, Exec-managerial, Husband, White, Male,50, United-States, >50K
26, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,40, United-States, <=50K
44, Government, Bachelors, Never-married, Other, Unmarried, Black, Female,40, United-States, <=50K
31, Government, Masters, Never-married, Adm-clerical, Not-in-family, White, Male,25, United-States, <=50K
39, Government, HS-grad, Never-married, Other, Not-in-family, Black, Male,40, United-States, <=50K
20, Private, Bachelors, Never-married, Tech-support, Own-child, White, Female,24, United-States, <=50K
32, Self-employed, Bachelors, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
32, Self-employed, HS-grad, Married, Sales, Husband, White, Male,40, United-States, <=50K
61, Private, Didnt-grad-HS, Married, Machine-op-inspct, Husband, Black, Male,20, Trinadad&Tobago, <=50K
54, Government, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Craft-repair, Other-relative, White, Male,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,3, United-States, <=50K
31, Private, Bachelors, Married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,40, United-States, <=50K
35, Private, Didnt-grad-HS, Married, Handlers-cleaners, Husband, White, Male,40, Mexico, <=50K
29, Private, HS-grad, Divorced, Other, Not-in-family, White, Female,25, United-States, <=50K
29, Government, HS-grad, Never-married, Protective-serv, Not-in-family, Black, Female,40, United-States, <=50K
25, Private, Didnt-grad-HS, Separated, Other, Own-child, White, Female,25, United-States, <=50K
46, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K
35, Private, Assoc-voc, Never-married, Other, Unmarried, White, Female,30, United-States, <=50K
20, Private, Didnt-grad-HS, Never-married, Sales, Not-in-family, Other, Male,40, United-States, <=50K
24, Self-employed, HS-grad, Married, Adm-clerical, Wife, White, Female,40, United-States, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,37, United-States, <=50K
37, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K
60, Self-employed, HS-grad, Married, Sales, Husband, White, Male,40, United-States, <=50K
39, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
29, Government, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,38, United-States, <=50K
31, Self-employed, Assoc-voc, Divorced, Craft-repair, Own-child, White, Male,20, United-States, <=50K
38, Private, Assoc-voc, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
26, Self-employed, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
64, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
46, Private, Assoc-voc, Divorced, Protective-serv, Not-in-family, Black, Male,40, United-States, <=50K
69, Other, HS-grad, Married, Other, Husband, White, Male,8, United-States, <=50K
39, Private, HS-grad, Married, Sales, Husband, White, Male,44, United-States, >50K
48, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,55, United-States, <=50K
46, Private, HS-grad, Divorced, Sales, Other-relative, White, Female,40, United-States, <=50K
42, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,40, United-States, <=50K
39, Self-employed, HS-grad, Married, Sales, Wife, Black, Female,54, Dominican-Republic, >50K
50, Government, Masters, Married, Tech-support, Husband, White, Male,40, United-States, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
30, Private, Assoc-voc, Married, Tech-support, Other-relative, White, Female,40, Canada, >50K
39, Self-employed, Bachelors, Married, Sales, Husband, White, Male,60, United-States, >50K
29, Self-employed, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
23, Private, Didnt-grad-HS, Never-married, Transport-moving, Own-child, White, Female,38, United-States, <=50K
21, Other, Assoc-voc, Never-married, Other, Not-in-family, White, Male,40, United-States, <=50K
32, Private, Didnt-grad-HS, Separated, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
69, Self-employed, Bachelors, Married, Machine-op-inspct, Husband, White, Male,30, United-States, <=50K
55, Private, HS-grad, Separated, Handlers-cleaners, Unmarried, White, Male,40, United-States, <=50K
41, Private, Bachelors, Married, Sales, Husband, White, Male,50, United-States, <=50K
44, Self-employed, Bachelors, Married, Exec-managerial, Husband, White, Male,52, United-States, >50K
18, Private, Didnt-grad-HS, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
74, Self-employed, Bachelors, Married, Exec-managerial, Husband, White, Male,10, United-States, <=50K
40, Private, Doctorate, Married, Prof-specialty, Husband, White, Male,40, United-States, >50K
27, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
75, Other, Didnt-grad-HS, Married, Other, Husband, Black, Male,5, United-States, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
52, Self-employed, Didnt-grad-HS, Married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,40, United-States, <=50K
54, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,48, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,48, United-States, <=50K
76, Other, Bachelors, Married, Other, Husband, White, Male,8, United-States, <=50K
